codeinsee;localisation;typepav;domaine;entourage;naturesol;datemaj;flux;longitude;latitude
35363;RUE DE LA MINE ATELIERS COMMUNAUX;Aérien;Public;;;20080403;VE;-1.71483434538921;48.0175014078514
35238;Rue GEORGE MAILLOLS (angle Rue du BOIS LABBE);Aérien;Public;Sans;Enrobé;20100203;VE;-1.70350929089243;48.1288296426384
35238;11  boulevard de Bulgarie;Aérien;Public;Haie;Béton;;OM;-1.65893447420492;48.0848033549005
35238;10  allée de Brno;Aérien;Privé;Béton;Béton;;OM;-1.66069487872404;48.1277992086638
35238;Rue d Exeter (angle rue Parmentier);Enterré;Public;Sans;Métal;;OM-MM-VE;-1.65542792666898;48.1275103899653
35363;Allée des Ecoles;Aérien;Public;;;20080403;VE;-1.70635031853266;48.0183428032788
35210;LA COUDRAIE  ROUTE DE VILLEJEAN;Aérien;Public;;;20080403;VE;-1.74680846755227;48.1464804634705
35066;RESIDENCE VICTOR HUGO RUE DU CALLOUET;Aérien;Public;;;20080328;OM-MM;-1.71346449951885;48.0415036634693
35238;Rue de Lorainne;Aérien;Public;Sans;;20080523;VE;-1.70615010235825;48.1242885051203
35120;Déchèterie (Le Bas-Painluc  route de Pacé);Aérien;Public;;;20080331;JM-VE;-1.7880475056051;48.2051298509887
35238;Rue Antoine Joly;Aérien;Public;;;20071217;VE;-1.69290704204642;48.123001534231
35238;27  rue Gustave Charpentier;Aérien;Public;Viking renforcé;Enrobé et gravier;;OM-MM;-1.65752597074112;48.1269797818629
35055;CENTRE ROUTIER  Z.I. SUD EST;Aérien;Public;;;20071129;VE;-1.62287720352934;48.0989640102087
35278;ALLEE D  ILLE ET RANCE;Aérien;Public;;;20080424;OM-MM;-1.68106863507128;48.1449994297734
35238;Boulevard Raymond Poincarré (angle rue Victor Basch);Aérien;Public;;;;VE;-1.65377221112286;48.1227047800577
35238;Square de Normandie;Aérien;Public;Sans;Enrobé;;MM;-1.7105728915036;48.1240719632615
35238;CROUS côté rue Mirabeau;Aérien;Privé;;;;VE;-1.64428548105287;48.1219107102818
35238;BOULEVARD VILLEBOIS MAREUIL;Aérien;Public;;;20080523;VE;-1.65157909478885;48.1078537866148
35278;Rue Abbé Filaux (à l angle de la route du bout du monde);Aérien;Public;Sans;Gravier;20100901;VE;-1.67763098568892;48.153660173893
35001;PLACE  DE LA MAIRIE  PARKING En FACE;Enterré;Public;;;20080229;VE;-1.53416857817659;48.1332930711044
35238;Rue des Ecotais;Aérien;Public;Sans;Enrobé;;VE;-1.66438205056393;48.0917665827187
35238;Rue MARIE DORVAL (angle Rue COLETTE);Aérien;Public;Sans;Enrobé;20100203;VE;-1.70219990307827;48.1299204800394
35238;Rue de Vincennes (angle rue d Antrain);Aérien;Public;;;;VE;-1.6761036172185;48.1182333489091
35238;Rue Bourg l Evesque;Aérien;Public;;;20080226;VE;-1.68998497972123;48.1125187705598
35039;parking salle des sports;Aérien;Public;Sans;Enrobé;20100203;VE;-1.48399769475751;48.1068915155024
35196;PLACE DE L EGLISE;Aérien;Public;;;20080331;VE;-1.84919384198831;48.0713194492698
35238;Place Pierre Gilles;Aérien;Public;Grillage - Haie;Gravier;;OM;-1.68348784140365;48.0823700405749
35080;PLACE DE LA MAIRIE;Aérien;Public;;;20080328;VE;-1.8720326414196;48.1053836562558
35238;Face au 7  allée de varsovie;Enterré;Public;Sans;Métal;20100104;OM-MM;-1.64977835041488;48.0844887840405
35238;Face au 6  rue Emile Bernard;Aérien;Public;;;20080104;VE;-1.66588926808293;48.1381267892585
35206;PARKING AUBERGE DE BAULIEU  ROUTE DE RENNES;Aérien;Public;;;20080401;VE;-1.66506793534796;48.067700940795
35076;PARKING derrière le COMOD PLACE DE L EGLISE;Aérien;Public;;;;VE;-1.78922658341834;48.0530048709676
35238;Rue MARIE DORVAL (Angle rue FRANCOIS TANGUY PRIGENT);Aérien;Public;Sans;Enrobé;20100203;VE;-1.70023877154698;48.1293390322825
35278;ALLEE DE CHATEAUBRIAND;Aérien;Public;;;20090303;OM-MM;-1.68315149708466;48.1543461287737
35238;Rue de l Hôtel Dieu (angle rue de Saint-Malo);Aérien;Public;;;;VE;-1.68078284367203;48.1180551430323
35266;AVENUE DE LA MARE GUESCLIN;Aérien;Public;;;20080403;VE;-1.66079812472168;48.0204780720086
35206;LES MALAIS  CAMPAGNE  VERS CHARTRES;Aérien;Public;;;20080401;VE;-1.68439821032993;48.0512898437574
35238;Face au 20  place des Lices;Enterré;Public;Sans;Résine;;OM-VE;-1.68280392613905;48.1133579334639
35051;LA SALMONDIERE  VERS NOYAL;Aérien;Public;;;20080325;VE;-1.56136739345605;48.1005619872054
